Order_ID,Customer_Name,City,Age,Product,Quantity,Price,Order_Date
4349,,Hyderabad,,,2,15000,01-04-2022
2037,Kiran,Bengaluru,35,Tablet,2,-5000,15-08-2024
6110,,bengaluru,45,Camera,3,30000,06-04-2022
9458,Sneha,,30,Mobile,3,15000,22-11-2022
4082,Arjun,Mumbai,,Camera,2,15000,32-13-2022
4475,,bengaluru,35,Laptop,1,10000,18-06-2024
7406,Anita,Hyderabad,200,Mobile,-1,30000,29-04-2023
5569,Kiran,Bengaluru,,Camera,3,10000,16-07-2024
8996,,bengaluru,35,Camera,2,30000,31-03-2022
7731,Rahul,Bengaluru,-5,Mobile,1,30000,28-03-2022
8206,  Ramesh  ,Delhi,45,Laptop,2,-5000,04-09-2024
3711,Kiran,Delhi,35,Mobile,1,15000,32-13-2022
2742,Kiran,,40,,1,30000,11-07-2023
8209,Kiran,Delhi,25,Tablet,5,20000,30-03-2024
4847,Sneha,Mumbai,45,,-1,10000,18-06-2024
3504,,Chennai,200,Mobile,2,,16-06-2023
7217,Sneha,Mumbai,35,Headphones,-1,,27-09-2022
3637,,HYDERABAD,45,Headphones,3,20000,32-13-2022
4619,Anita,Bengaluru,,Camera,3,15000,29-11-2022
6260,Rahul,bengaluru,45,Laptop,2,,05-06-2024
5146,,Delhi,-5,Headphones,-1,15000,21-02-2024
6774,Kiran,Chennai,,Camera,2,20000,07-11-2023
8756,Anita,Bengaluru,45,Tablet,3,10000,20-01-2022
9901,,Mumbai,35,Mobile,-1,,27-06-2024
9514,,Mumbai,200,,1,,16-11-2023
5644,Kiran,Chennai,25,Mobile,1,15000,11-04-2022
4471,  Ramesh  ,Hyderabad,45,Laptop,5,-5000,24-04-2023
4109,Meghana,Bengaluru,35,,3,-5000,13-10-2023
1580,Sneha,Hyderabad,-5,Camera,,,12-05-2024
7922,Sneha,Bengaluru,,Mobile,-1,20000,07-03-2022
9921,Rahul,Chennai,,Laptop,5,30000,27-05-2023
4147,Anita,Chennai,35,Tablet,1,15000,06-06-2022
3779,Kiran,Hyderabad,40,Headphones,5,15000,25-01-2024
1392,Meghana,Mumbai,-5,Tablet,,,24-09-2024
3265,  Ramesh  ,Delhi,45,Headphones,,15000,07-02-2023
7806,Rahul,,200,Laptop,5,,04-02-2022
7861,  Ramesh  ,bengaluru,40,Camera,3,15000,15-05-2024
1989,Sneha,Chennai,25,Headphones,-1,30000,11-08-2022
7720,  Ramesh  ,Hyderabad,45,Headphones,,30000,04-05-2022
8624,Rahul,Delhi,,,,15000,28-06-2023
5329,  Ramesh  ,Chennai,25,Camera,3,10000,21-02-2022
3338,,Mumbai,25,Headphones,,15000,16-05-2024
2724,,HYDERABAD,45,Mobile,2,30000,19-09-2023
9859,Sneha,bengaluru,30,Tablet,,10000,16-05-2022
9078,,Hyderabad,45,Laptop,2,20000,02-04-2022
3151,Sneha,Bengaluru,25,Headphones,2,20000,03-02-2023
7622,Sneha,Delhi,25,Camera,3,,22-04-2024
1648,Anita,Bengaluru,,Mobile,-1,15000,06-03-2022
2140,Anita,Chennai,30,Camera,5,15000,18-04-2024
4226,,Hyderabad,45,Camera,5,-5000,10-07-2022
8218,Meghana,Mumbai,200,Mobile,1,10000,32-13-2022
1215,Rahul,Hyderabad,-5,,2,,17-01-2022
9782,Kiran,Mumbai,45,Camera,,15000,13-04-2023
5171,Sneha,Mumbai,45,,5,-5000,06-12-2023
6295,Anita,Bengaluru,200,Camera,,15000,30-08-2024
6953,Rahul,Bengaluru,200,Mobile,2,-5000,02-02-2022
5925,Arjun,Mumbai,200,Tablet,3,-5000,19-02-2022
4701,Anita,Mumbai,200,Laptop,-1,30000,17-09-2023
8759,,bengaluru,,,,-5000,12-02-2023
5376,  Ramesh  ,bengaluru,40,Headphones,3,,06-03-2024
1630,  Ramesh  ,HYDERABAD,,Headphones,1,20000,04-07-2022
2813,Rahul,Delhi,25,Mobile,1,15000,30-09-2023
9518,Sneha,Hyderabad,25,Laptop,1,20000,25-03-2022
9804,Sneha,Mumbai,25,Tablet,-1,,30-11-2023
3821,Sneha,HYDERABAD,35,Tablet,-1,,28-01-2023
8557,  Ramesh  ,HYDERABAD,45,Tablet,2,20000,23-06-2024
9656,Anita,Delhi,30,Mobile,1,-5000,30-04-2024
5675,Meghana,bengaluru,,Laptop,5,10000,01-04-2023
9050,Rahul,Chennai,,Headphones,-1,-5000,12-11-2022
9836,Rahul,Chennai,,Camera,2,,09-09-2023
6234,Sneha,Chennai,35,Headphones,3,-5000,17-06-2023
3738,Meghana,Hyderabad,25,Mobile,2,30000,19-06-2024
4923,,Hyderabad,35,Mobile,5,15000,30-06-2023
2065,Arjun,HYDERABAD,200,Mobile,3,,28-04-2022
2587,Meghana,Mumbai,-5,Tablet,-1,-5000,26-04-2023
5070,  Ramesh  ,Bengaluru,30,,,10000,28-05-2022
8297,,,,Laptop,3,15000,03-03-2024
5249,  Ramesh  ,Bengaluru,25,Tablet,1,10000,09-12-2022
5940,,HYDERABAD,,Tablet,-1,20000,17-05-2023
7257,Kiran,Chennai,35,,1,15000,30-11-2023
6621,Meghana,Delhi,25,Laptop,2,15000,01-05-2024
8909,Kiran,Delhi,30,,-1,20000,23-09-2023
7628,Arjun,,200,Laptop,,20000,12-03-2022
5636,Arjun,Mumbai,40,Mobile,3,10000,19-06-2023
4937,Meghana,bengaluru,40,Headphones,,,16-01-2023
6892,Kiran,Mumbai,,,,,03-09-2022
8260,,HYDERABAD,-5,Mobile,3,30000,02-09-2023
3659,Anita,Bengaluru,35,,2,10000,16-07-2022
5752,Sneha,Chennai,-5,Tablet,2,20000,07-12-2022
1954,Arjun,Chennai,200,Headphones,-1,15000,07-05-2023
3242,  Ramesh  ,Hyderabad,200,Headphones,-1,15000,08-01-2023
2887,Anita,Mumbai,30,Camera,,30000,09-10-2022
8643,  Ramesh  ,,35,Headphones,2,30000,02-09-2024
2141,Rahul,Delhi,40,Mobile,-1,20000,27-09-2022
1225,  Ramesh  ,Hyderabad,-5,Tablet,1,,28-01-2024
8212,,,200,Laptop,1,20000,17-09-2023
3469,Anita,HYDERABAD,200,Headphones,2,30000,31-05-2023
2793,Meghana,bengaluru,200,Headphones,-1,,15-08-2022
2910,Sneha,Chennai,,Tablet,,,23-08-2024
9716,  Ramesh  ,HYDERABAD,40,,-1,15000,22-04-2023
1529,Arjun,Mumbai,200,Camera,1,15000,31-08-2023
1760,Meghana,Mumbai,,,5,,14-02-2022
2050,Rahul,Chennai,35,,2,15000,13-11-2022
5908,,,45,Tablet,1,10000,22-05-2024
4259,Sneha,Bengaluru,200,Headphones,1,15000,10-04-2023
8513,  Ramesh  ,Bengaluru,40,Mobile,5,20000,29-12-2022
8876,Meghana,Delhi,45,Laptop,5,,12-02-2022
4504,Kiran,Mumbai,200,,-1,-5000,01-12-2022
6801,Kiran,Chennai,25,Laptop,,,20-06-2024
1574,Rahul,Hyderabad,40,,5,30000,03-11-2023
2192,Meghana,Delhi,25,Mobile,2,20000,03-07-2023
6193,  Ramesh  ,bengaluru,45,Laptop,5,15000,11-06-2022
7080,,Bengaluru,40,Tablet,,30000,05-11-2023
3359,Rahul,Chennai,,Camera,1,20000,32-13-2022
5541,Sneha,Chennai,35,,2,15000,08-07-2024
7924,Rahul,Chennai,40,Camera,5,20000,23-06-2022
8045,Meghana,Chennai,,Camera,1,30000,04-08-2024
2382,Sneha,,30,Tablet,,-5000,09-09-2024
2804,Meghana,Chennai,,Tablet,3,10000,18-08-2022
9894,Rahul,Hyderabad,40,,-1,10000,02-04-2024
4924,Sneha,,35,Camera,1,20000,29-05-2024
4644,Kiran,Mumbai,35,Mobile,5,15000,32-13-2022
7787,Meghana,Mumbai,35,Headphones,,30000,26-08-2023
1421,,bengaluru,40,Camera,1,,12-01-2022
4983,Anita,Delhi,40,Headphones,,15000,18-02-2023
2365,Arjun,Mumbai,30,Tablet,-1,10000,32-13-2022
7239,Rahul,Delhi,40,Mobile,-1,10000,12-01-2022
9653,,Hyderabad,-5,Camera,3,-5000,06-04-2022
9167,Rahul,Bengaluru,200,Tablet,1,30000,26-08-2022
8036,Arjun,Bengaluru,-5,Mobile,-1,,02-01-2023
3309,Meghana,HYDERABAD,30,,,15000,10-07-2023
5218,Arjun,HYDERABAD,45,Headphones,2,20000,30-06-2022
3373,  Ramesh  ,Mumbai,200,Tablet,5,10000,12-08-2024
2050,  Ramesh  ,bengaluru,200,Laptop,2,20000,32-13-2022
3434,Rahul,Bengaluru,30,Laptop,1,10000,11-09-2023
4071,Rahul,Hyderabad,-5,Tablet,3,20000,11-03-2023
5846,Meghana,Bengaluru,25,Laptop,1,10000,23-07-2022
9536,  Ramesh  ,Mumbai,30,Laptop,3,20000,21-01-2023
8858,Kiran,Bengaluru,-5,Headphones,,30000,09-12-2022
2130,,Bengaluru,30,Laptop,,10000,12-01-2023
9719,Anita,Bengaluru,30,Tablet,3,-5000,07-07-2023
5833,Rahul,Delhi,45,Camera,-1,,32-13-2022
1703,  Ramesh  ,Delhi,-5,Mobile,5,,03-08-2022
2653,Sneha,Delhi,200,Tablet,2,30000,05-03-2022
9384,Rahul,Mumbai,25,Camera,,15000,13-09-2024
1147,Kiran,Hyderabad,40,Mobile,-1,10000,11-06-2023
6522,Meghana,Delhi,30,Laptop,,15000,02-07-2024
5928,,Bengaluru,-5,Headphones,2,30000,11-05-2022
8219,Arjun,Chennai,35,Laptop,2,10000,18-02-2024
6141,,Bengaluru,200,,,20000,10-04-2022
7052,Kiran,bengaluru,40,Tablet,1,30000,15-06-2022
9125,Meghana,HYDERABAD,30,Headphones,2,,11-07-2024
5920,Meghana,Mumbai,35,Camera,2,10000,21-08-2022
8371,Sneha,Delhi,35,Mobile,,-5000,19-09-2024
2873,,Bengaluru,25,,5,-5000,13-01-2022
9232,Sneha,,25,,-1,15000,27-08-2022
2737,Rahul,bengaluru,200,,2,20000,11-11-2022
7102,Arjun,bengaluru,45,,,-5000,06-05-2022
7965,Sneha,,-5,,-1,15000,09-04-2023
8806,Meghana,Hyderabad,25,Mobile,-1,30000,23-05-2022
7639,Arjun,Mumbai,35,Tablet,1,30000,16-06-2023
3356,,HYDERABAD,-5,Headphones,-1,-5000,15-01-2023
4416,Meghana,Bengaluru,45,Laptop,1,-5000,19-09-2022
6624,,HYDERABAD,25,Tablet,-1,15000,02-03-2022
3850,  Ramesh  ,Delhi,40,,2,-5000,04-01-2024
3946,Sneha,Delhi,200,Mobile,1,,02-10-2023
3587,,HYDERABAD,30,Camera,-1,20000,16-06-2024
1343,Anita,Chennai,30,Camera,1,20000,31-05-2023
8925,Arjun,Mumbai,,Laptop,-1,10000,24-07-2024
3648,,bengaluru,200,,3,,25-02-2022
6115,Kiran,Chennai,45,Headphones,3,30000,12-02-2022
3576,Meghana,Chennai,30,,1,15000,32-13-2022
5457,Sneha,,200,Mobile,-1,10000,11-10-2023
7047,Kiran,bengaluru,30,Mobile,1,15000,24-04-2022
1832,Sneha,Hyderabad,35,Tablet,,10000,23-03-2023
8869,Sneha,Hyderabad,45,Camera,5,10000,09-07-2023
6344,,Mumbai,25,Tablet,2,,14-10-2023
8866,  Ramesh  ,bengaluru,35,Tablet,2,-5000,25-07-2023
3823,  Ramesh  ,Hyderabad,25,Laptop,1,10000,03-09-2024
4829,Anita,,35,Headphones,5,,19-12-2022
1370,Anita,bengaluru,,Camera,1,-5000,26-07-2022
5408,  Ramesh  ,Mumbai,35,Mobile,1,-5000,25-02-2022
4072,  Ramesh  ,Delhi,35,Camera,1,30000,15-10-2023
3854,Meghana,Chennai,40,Mobile,2,15000,14-12-2023
6319,Anita,Chennai,-5,Laptop,,15000,12-07-2023
9970,Meghana,Bengaluru,25,Mobile,3,10000,16-03-2022
5364,Meghana,Delhi,,Laptop,2,-5000,08-04-2022
9772,Rahul,bengaluru,35,Mobile,-1,-5000,27-03-2022
9954,  Ramesh  ,Chennai,-5,,3,30000,30-11-2023
